,1,2,3,4,5,6
36,동작구,상설선별진료소,동작구보건소*(검체채취 가능),,(평일/공휴일) 09:00~18:00(토요일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.※ 일요일 미운영,"(평일/공휴일) 12:00~13:00접수마감 : 11:30, 17:30(토요일) 소독시간 없음접수마감 : 12:30"
37,동작구,임시선별검사소,동작구청주차장*(검체채취 가능),,"(평일) 10:00~18:00 *접수마감 17:30(토요일) 10:00~14:00 *접수마감 13:30(일요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",(평일) 소독시간 없음(토요일) 소독시간 없음
38,동작구,임시선별검사소,사당 문화회관*(검체채취 가능),,"(평일) 10:00~18:00 *접수마감 17:30(토요일) 10:00~14:00 *접수마감 13:30(일요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",(평일) 소독시간 없음(토요일) 소독시간 없음
39,동작구,코로나19 검사소,동작 주차공원*(검체채취 가능),,월~일 13:00~21:00※운영여건에 따라 조기마감 될 수 있습니다.,접수마감 : 20:30※ 운영여건에 따라 조기마감(20:00) 될 수 있습니다.
40,마포구,상설선별진료소,마포구보건소*(검체채취 가능),,(평일) 09:00~18:00(소독시간 13:00~14:00)(토요일/공휴일) 09:00~13:00 ※일요일 미운영*오전/오후 운영종료 30분 전에 접수마감됩니다.,(평일) 13:00~14:00
41,마포구,임시선별검사소,서강대역사 광장*(검체채취 가능),,"(평일) 09:30~17:00(토요일, 공휴일) 09:30~13:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(매일) 12:00~13:00(토요일, 공휴일) 소독시간 없음"
42,마포구,임시선별검사소,홍익문화공원*(검체채취 가능),,"(평일) 09:30~17:00(토요일, 공휴일) 09:30~13:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 소독시간 없음"
43,마포구,코로나19 검사소,월드컵공원평화광장*(검체채취 가능),,(매일) 13:00 ~ 21:00,없음
44,서대문구,상설선별진료소,서대문구보건소*(검체채취 가능),,(평일) 09:00~18:00(토요일) 09:00~13:00(일요일) 09:00~13:00,(평일) 12:00~13:00
45,서대문구,임시선별검사소,신촌기차역공영주차장*(검체채취 가능),,"(평일) 10:00~21:00 *접수마감 20:30(토요일, 공휴일) 09:00~18:00 *접수마감 17:30(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 13:00~14:00 / 17:00~18:00(토요일, 공휴일) 13:00~14:00"
46,서대문구,임시선별검사소,홍제견인 차량보관소,,"(평일) 10:00~17:00 *접수마감 16:30(토요일, 공휴일) 09:00~13:00 *접수마감 12:30(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 13:00~14:00(토요일, 공휴일) 소독시간 없음"
47,서대문구,코로나19 검사소,독립문 광장*(검체채취 가능),,월~일 13:00~21:00,
48,서초구,상설선별진료소,서초구보건소*(검체채취 가능),,(평일/공휴일) 09:00~12:00/13:30~17:30(토요일) 09:00~12:30(일요일) 미운영※ 접수마감 시간으로 종료안내,(평일/공휴일) 12:30~13:30
49,서초구,임시선별검사소,고속터미널역,,"(평일) 09:00~17:00(토요일) 미운영(일요일, 공휴일) 13:00~17:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 소독시간 없음"
50,서초구,임시선별검사소,심산기념문화센터주차장*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 공휴일) 13:00~17:00(일요일) 미운영※ 운영상황에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00  (토요일, 공휴일) 소독시간 없음"
51,서초구,임시선별검사소,강남역*(검체채취 가능),"3.7(월)~3.10(목) 까지 임시폐쇄
3.11.(금) 운영재개","(평일) 09:00~17:00(토요일, 공휴일) 13:00~17:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 소독시간 없음"
52,서초구,임시선별검사소,사당역*(검체채취 가능),,"(평일) 09:00~17:00(접수마감)오전11:30 오후16:30(토요일, 공휴일) 13:00~17:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",(평일) 12:00~13:00
53,성동구,상설선별진료소,성동구보건소*(검체채취 가능),,(평일) 09:00~18:00(토요일) 09:00~13:00(일요일) 미운영*운영시간 30분 전 접수마감,(평일/토요일/공휴일) 13:00~14:00
54,성동구,임시선별검사소,성동구청(농구장),,"(평일) 09:00~17:00 *접수마감 16:30(일요일) 09:00~18:00 *접수마감 12:30 / 17:30(토요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",(일요일) 13:00~14:00
55,성동구,임시선별검사소,성수구두테마공원(성수역 4번출구),,"(평일) 09:00~17:00 *접수마감 16:30(토요일, 일요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",소독시간 없음
56,성북구,상설선별진료소,성북구보건소*(검체채취 가능),,"(평일) 09:00~18:00 (소독시간  12:00~13:00)(토요일,일요일) 09:00~13:00 (소독시간없음)공휴일 09:00~18:00(소독시간 12:00~13:00)","평일, 공휴일 12:00~13:00"
57,성북구,임시선별검사소,성북구청 바람마당*(검체채취 가능),,"(평일) 09:00~17:00(주말, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:30~13:30(주말, 공휴일) 소독시간 없음"
58,성북구,임시선별검사소,길음 어울림마당*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:30~13:30(토요일, 일요일, 공휴일) 소독시간 없음"
59,송파구,상설선별진료소,송파구보건소*(검체채취 가능),,(평일) 09:00~18:00(휴일) 09:00~13:00,
60,송파구,임시선별검사소,올림픽공원평화의문 광장*(검체채취 가능),,"(평일) 10:00~17:00 *접수마감 11:30/16:30(토요일, 공휴일) 10:00~15:00*접수마감 11:30(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 12:00~13:00"
61,송파구,임시선별검사소,문정도시개발구역 광장*(검체채취 가능),,"(평일) 10:00~17:00 *접수마감 11:30/16:30(토요일, 공휴일) 10:00~15:00*접수마감 11:30(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 12:00~13:00"
62,송파구,코로나19 검사소,잠실종합운동장 제2주차장*(검체채취 가능),,(매일)13:00 ~ 21:00,없음
63,양천구,,신월문화체육센터 임시선별검사소,,"(평일) 09:00~17:00 접수마감 11:40 / 16:40(토요일,일요일,공휴일) 09:00~13:00 *접수마감 12:40※ 운영여건에 따라 조기마감 될 수 있습니다.",
64,양천구,상설선별진료소,양천구보건소*(검체채취 가능),,"평일 : 09:00~18:00토요일,공휴일 :  09:00~13:00일요일 : 미운영","평일 : 12시 ~13시, 15시~16시"
65,양천구,임시선별검사소,양천구의회주차장*(검체채취 가능),,"(평일) 09:00~17:00 *접수마감 11:40 / 16:40(토요일, 공휴일) 09:00~13:00 *접수마감 12:40(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 소독시간 없음"
66,양천구,코로나19 검사소,목동운동장 남문 주차장,,(매일) 13:00~21:00,없음
67,영등포구,상설선별진료소,영등포구보건소*(검체채취 가능),,(평일) 09:00~18:00(토요일/공휴일) 09:00~13:00(일요일) 미운영*운영여건에 따라 조기마감될 수 있습니다.,(평일)13:00~14:00 (주말/공휴일) 소독시간 없음
68,영등포구,임시선별검사소,여의도공원 내문화의 마당*(검체채취 가능),,"※3.14.(월)~ 의료진 확진으로 별도공지시까지 신속항원검사 불가, PCR만 가능(평일) 09:00~18:00  *접수마감 12:30 / 17:30(토요일, 공휴일) 09:00~13:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 13:00~14:00(토요일, 공휴일) 소독시간 없음"
69,영등포구,임시선별검사소,대림동*(검체채취 가능),,(평일) 09:00~18:00(토요일/공휴일) 09:00~13:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.,(평일) 12:00~13:00(토요일/공휴일) 소독시간 없음
70,용산구,상설선별진료소,용산구보건소*(검체채취 가능),,(평일) 09:00~12:00(11:30 접수마감)          13:30~18:00(17:30 접수마감)(주말/공휴일) 09:00~13:00(12:30 접수마감)※ 접수마감은 대기인원에 따라 선착순 조기마감 될 수 있음,(평일) 12:00~13:30
71,용산구,임시선별검사소,용산역,,"(평일, 토요일) 09:00~17:00*접수마감 11:30 / 16:30(일요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일, 토요일) 12:00~13:00"
72,용산구,임시선별검사소,한남동공영주차장,,"(평일) 09:00~18:00*접수마감 11:30 / 17:30(토요일, 일요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",(평일) 12:00~13:00
73,은평구,상설선별진료소,은평구보건소*(검체채취 가능),,"(평일/ 주말, 공휴일)  PCR 검사 09:00~18:00(평일/ 주말, 공휴일) 신속항원검사 09:00~17:30",(평일 및 주말) PCR 검사 12:00~14:00(평일 및 주말) 신속항원검사 11:30~14:00
74,은평구,임시선별검사소,서울혁신파크(*주차비 부과)*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 공휴일) 09:00~13:00(일요일) 미운영※ 대기자가 많아 마감 1~2시간 전 도착바랍니다.","(평일) 12:00~14:00(토요일, 공휴일) 소독시간 없음"
75,은평구,임시선별검사소,은평평화공원(역촌역 4번 출구)*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~14:00(토요일, 일요일, 공휴일) 소독시간 없음"
76,은평구,임시선별검사소,구파발 인공폭포(구파발역 1번 출구)*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 공휴일) 09:00~13:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~14:00(토요일, 공휴일) 소독시간 없음"
77,종로구,상설선별진료소,종로구보건소*(검체채취 가능),,(평일/ 공휴일) 09:00~18:00 (운영중단 : 12:00~13:00)(일요일) 미운영,(평일/공휴일 운영중단시간) 12:00~13:00(토요일) 운영중단 없음(일요일) 미운영
78,종로구,임시선별검사소,탑골공원 삼일문*(검체채취 가능),,"(평일) 09:00~17:00(토요일) 09:00~13:00(일요일,공휴일) 미운영☆ 신속항원검사 중단 : 의료인력 공백(3.24.~)※ 운영여건에 따라 조기마감 될 수 있습니다.",(평일) 12:00~14:00(토요일) 소독시간 없음☆ 신속항원검사 중단 : 의료인력 공백(3.24.~)
79,종로구,임시선별검사소,종로 구민회관*(검체채취 가능),,"(평일) 09:00~17:00(토요일) 09:00~13:00(일요일,공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",(평일) 12:00~14:00(토요일) 소독시간 없음
80,중구,상설선별진료소,중구보건소*(검체채취 가능),,"(평일/공휴일) 09:00~18:00 (접수마감 11:30, 17:30)(토,일) 09:00~13:00 (접수마감 12:30)",(평일 및 공휴일) 12:00~13:00
81,중구,임시선별검사소,서울광장,,"(평일, 공휴일) 09:00~18:00(토요일, 일요일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일, 공휴일) 12:00~13:00(토요일, 일요일) 소독시간 없음"
82,중구,임시선별검사소,서울역 광장*(검체채취 가능),,"(평일, 공휴일) 09:00~18:00(토요일, 일요일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일, 공휴일) 12:00~13:00(토요일, 일요일) 소독시간 없음"
83,중랑구,,면목역광장(3번출구) 임시선별검사소*(검체채취 가능),,"(평일) 09:00~18:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 검사 및 접수가 조기마감 될 수 있습니다.※ 접수마감: 운영종료 1시간 전",
84,중랑구,상설선별진료소,중랑구보건소*(검체채취 가능),,(평일) 09:00~18:00(공휴일) 09:00~13:00(토요일) 09:00~13:00(일요일) 09:00~13:00 * 접수마감 : 운영종료 1시간 전※ 운영여건에 따라 조기마감 될 수 있습니다.,(평일) 12:00~13:00
85,중랑구,임시선별검사소,망우역광장(1번출구)*(검체채취 가능),,"(평일) 09:00~18:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:30~13:30(토요일, 일요일, 공휴일) 소독시간 없음"
